质量_A
t	x	y	v	v_{y}	v_{x}
8.200000000E0	5.828764604E-2	-5.594242593E-2	4.098466798E-1	3.947582961E-1	1.101825240E-1
8.233333333E0	6.325796278E-2	-3.493075337E-2	4.144668147E-1	4.024878298E-1	9.892566547E-2
8.266666667E0	6.488269040E-2	-2.910990394E-2	1.344465381E-1	1.293061324E-1	3.682113174E-2
8.300000000E0	6.571270490E-2	-2.631034454E-2	2.257637708E-1	2.039100523E-1	-9.690186158E-2
8.333333333E0	5.842256629E-2	-1.551590046E-2	6.210152944E-1	5.314740142E-1	-3.212403587E-1
8.366666667E0	4.429668098E-2	9.121256405E-3	6.534682615E-1	5.129242043E-1	-4.048821180E-1
8.400000000E0	3.143042509E-2	1.867904649E-2	3.759225675E-1	2.640483108E-1	-2.675747864E-1
8.433333333E0	2.645836189E-2	2.672447713E-2	2.306269056E-1	1.171145198E-1	-1.986780281E-1
8.466666667E0	1.818522322E-2	2.648668115E-2	1.930177506E-1	-1.182597855E-1	-1.525466328E-1
8.500000000E0	1.628858637E-2	1.884049143E-2	4.661938348E-1	-4.637021597E-1	-4.813521286E-2
8.533333333E0	1.497620903E-2	-4.426796166E-3	4.498800601E-1	-4.427328990E-1	7.987270250E-2
8.566666667E0	2.161343320E-2	-1.067503517E-2	4.098166742E-1	-3.148680809E-1	2.623124055E-1
8.600000000E0	3.246370273E-2	-2.541800156E-2	5.746032708E-1	-2.943487308E-1	4.934853022E-1
8.633333333E0	5.451245335E-2	-3.029828389E-2			
8.666666667E0					
8.700000000E0	6.662361642E-2	-3.222101959E-2			
8.733333333E0	7.216447037E-2	-3.237450660E-2	3.081752756E-1	-2.430108066E-2	3.072156539E-1
8.766666667E0	8.710466002E-2	-3.384109164E-2	1.772294887E-1	-1.230101350E-1	1.275883942E-1
